trip_id,start_time,end_time,headway_secs
"62","09:01:00","15:00:00","900"
"62","15:01:00","20:00:00","600"
"63","05:00:00","09:00:00","600"
"63","09:01:00","15:00:00","900"
"63","15:01:00","20:00:00","600"
"64","05:00:00","09:00:00","600"
"64","09:01:00","15:00:00","900"
"64","15:01:00","20:00:00","600"
"65","05:00:00","09:00:00","600"
"65","09:01:00","15:00:00","900"
"65","15:01:00","20:00:00","600"
"66","05:00:00","09:00:00","600"
"66","09:01:00","15:00:00","900"
"66","15:01:00","20:00:00","600"
"67","06:00:00","09:00:00","600"
"67","09:01:00","15:00:00","900"
"67","15:01:00","20:00:00","600"
"68","06:00:00","09:00:00","600"
"68","09:01:00","15:00:00","900"
"68","15:01:00","20:00:00","600"
"69","05:30:00","09:00:00","600"
"69","09:01:00","15:00:00","900"
"69","15:01:00","20:00:00","600"
"70","05:30:00","09:00:00","600"
"70","09:01:00","15:00:00","900"
"70","15:01:00","20:00:00","600"
"71","05:00:00","09:00:00","600"
"71","17:00:00","20:00:00","600"
"72","05:00:00","09:00:00","600"
"72","17:00:00","20:00:00","600"
"75","05:00:00","09:00:00","600"
"75","09:01:00","15:00:00","900"
"75","15:01:00","20:00:00","600"
"76","05:00:00","09:00:00","600"
"76","09:01:00","15:00:00","900"
"76","15:01:00","20:00:00","600"
"81","05:30:00","09:00:00","210"
"81","09:00:00","16:00:00","510"
"81","16:00:00","19:15:00","210"
"82","06:00:00","09:00:00","210"
"82","09:00:00","16:00:00","510"
"82","16:00:00","19:15:00","210"
"83","06:00:00","18:30:00","450"
"84","06:30:00","19:00:00","450"
"85","06:00:00","07:00:00","600"
"85","07:00:00","09:00:00","300"
"85","09:00:00","09:30:00","600"
"85","09:30:00","16:00:00","900"
"85","16:00:00","17:00:00","600"
"85","17:00:00","20:00:00","300"
"85","20:00:00","21:00:00","600"
"85","21:00:00","22:00:00","900"
"85","22:00:00","24:00:00","1200"
"86","06:00:00","07:00:00","600"
"86","07:00:00","09:00:00","300"
"86","09:00:00","09:30:00","600"
"86","09:30:00","16:00:00","900"
"86","16:00:00","17:00:00","600"
"86","17:00:00","20:00:00","300"
"86","20:00:00","21:00:00","600"
"86","21:00:00","22:00:00","900"
"86","22:00:00","24:00:00","1200"
"87","06:21:00","21:00:00","900"
"87","21:00:00","24:00:00","1200"
"88","06:21:00","21:00:00","900"
"88","21:00:00","24:00:00","1200"
"238","05:30:00","06:30:00","900"
"238","06:30:00","09:30:00","600"
"238","09:30:00","16:30:00","720"
"238","16:30:00","20:30:00","600"
"238","20:30:00","21:30:00","720"
"238","21:30:00","23:59:59","900"
"239","05:30:00","06:30:00","900"
"239","06:30:00","09:30:00","600"
"239","09:30:00","16:30:00","720"
"239","16:30:00","20:30:00","600"
"239","20:30:00","21:30:00","720"
"239","21:30:00","23:59:59","900"
"240","05:30:00","06:30:00","900"
"240","06:30:00","21:30:00","720"
"240","21:30:00","23:59:59","900"
"241","05:30:00","06:30:00","900"
"241","06:30:00","21:30:00","720"
"241","21:30:00","23:59:59","900"
"242","05:30:00","06:30:00","558"
"242","06:30:00","08:30:00","360"
"242","08:30:00","17:00:00","558"
"242","17:00:00","19:30:00","360"
"242","19:30:00","23:59:59","558"
"243","05:30:00","06:30:00","558"
"243","06:30:00","08:30:00","360"
"243","08:30:00","17:00:00","558"
"243","17:00:00","19:30:00","360"
"243","19:30:00","23:59:59","558"
"244","06:00:00","23:59:59","558"
"245","06:00:00","23:59:59","559"
"257","05:30:00","07:00:00","300"
"257","07:00:00","09:20:00","8400"
"257","09:20:00","16:27:00","420"
"257","16:27:00","16:30:00","180"
"257","16:30:00","17:30:00","300"
"257","17:30:00","20:58:00","240"
"257","20:58:00","21:00:00","120"
"257","21:00:00","23:55:00","420"
"261","06:00:00","07:00:00","300"
"261","07:00:00","09:20:00","8400"
"261","09:20:00","16:27:00","420"
"261","16:27:00","16:30:00","180"
"261","16:30:00","17:30:00","300"
"261","17:30:00","20:58:00","240"
"261","20:58:00","21:00:00","120"
"261","21:00:00","23:55:00","420"
"262","06:00:00","23:58:00","420"
"263","06:00:00","23:58:00","420"
"264","05:00:00","22:00:00","900"
"265","05:00:00","22:00:00","900"
"266","05:00:00","22:00:00","900"
"267","05:00:00","22:00:00","900"
"268","05:00:00","22:00:00","900"
"269","05:00:00","22:00:00","900"
"270","05:00:00","22:00:00","900"
"271","05:00:00","22:00:00","900"
"272","05:00:00","22:00:00","900"
"273","05:00:00","22:00:00","900"
"274","05:00:00","22:00:00","900"
"275","05:00:00","22:00:00","900"
"276","05:00:00","22:00:00","900"
"277","05:00:00","22:00:00","900"
